key,balance,balanceEligible,balanceAtStart, isDisqualified, isNode, isActive,isEligibleFor_1_2,isEligibleFor_1_3
9gYsGWFZ8CkECq9HLH4c7qyQP2z6kwQmQy,18124,0,0, no, no, no,yes,no
9hvtHsCFjFwYRrTEuDUChYL6kPVgCt5gaY,18124,0,0, no, no, no,yes,no
9j5j5Tf72bGeu1kCKGCVqNfQw6qEVzr479,18124,0,0, no, no, no,yes,no
9owqUjVTq6bhaU2G2j5K5GMKmgeMpnSaYw,18124,0,0, no, no, no,yes,no
TBWBQ1rCXm16huegLWvSz5TCs5KzfoYaNB,40000,0,0, no, no, no,yes,no
TCi1wcVbkmpUiTcG277o5Y3VeD3zgtsHRD,40000,0,0, no, no, no,yes,no
TDJVZE5oCYYbJQyizU4FgB2KpnKVdebnxg,142000,0,0, no, no, no,yes,no
TDrLrKv43e8B7QRRexwE1K3cE5Eb7sjE3e,12500,0,0, no, no, no,yes,no
TEEQhvFV9WhC1LCKkG7eFz2nT7ySqyEJez,12500,0,0, no, no, no,yes,no
THypUznpFaDHaE7PS6yAc4pHNjC2BnWzUv,142000,0,0, no, no, no,yes,no
TKA8HtNuyiggjeELaYTcXDYrbyvUiTRgyK,10000,0,0, no, no, no,yes,no
TKV62dkek1MFziJkxgpLCibZUKpW9YqrGp,12500,0,0, no, no, no,yes,no
TLn1PGAVccBBjF8JuhQmATCR8vxhmamJg8,157250,0,0, no, no, no,yes,no
TNXU1w29RzegEcQK8N3GGCNx9TyWLupUSt,10000,0,0, no, no, no,yes,no
TNzxRPkbZEcfa7Zhhu1oEUmJtqZmwdptnp,12500,0,0, no, no, no,yes,no
TPUjSWvfvaT3kozkM2PRwBafg6LxDL6jjn,10000,0,0, no, no, no,yes,no
TRU6fenCeL1FtSEqKahrgHDmShMuhWdM2Y,10000,0,0, no, no, no,yes,no
TSziXCdaBcPk3Dt94BbTH9BZDH18K6sWsc,137750,0,0, no, no, no,yes,no
TTpGqTr2PBeVx4vvNRJ9iTq4NwpTCbSSwy,851000,0,0, no, no, no,yes,no
TV1i46CHwphfTjcmEtMoFsQuNg33oBuYq6,12500,0,0, no, no, no,yes,no
TVuTV7d5vBKyfg5j45RnnYgdo9G3ET2t2f,40000,0,0, no, no, no,yes,no
TYs8eT9xtSyxCjJfHpnkSL3UQbUahc8yLs,10000,0,0, no, no, no,yes,no
